timestamp,intention,u_id
1.44496e+12,C,77
1.44495e+12,B,75
1.44495e+12,A,75
1.44495e+12,A,75
1.4406e+12,A,48
1.4406e+12,B,48
1.44061e+12,B,48
1.44061e+12,D,48
1.44495e+12,A,48
1.44495e+12,A,48
1.44495e+12,A,48
1.44495e+12,D,48
1.44426e+12,A,30
1.44329e+12,C,46
1.44329e+12,C,46
1.44332e+12,B,46
1.44332e+12,C,46
1.44332e+12,D,46
1.44332e+12,D,46
1.44393e+12,B,46
1.44393e+12,A,46
1.44393e+12,B,46
1.44393e+12,B,46
1.44393e+12,B,46
1.44393e+12,C,46
1.44394e+12,C,46
1.44458e+12,C,46
1.44458e+12,B,46
1.44458e+12,C,46
1.4446e+12,C,46
1.4446e+12,D,46
1.4446e+12,D,46
1.4446e+12,D,46
1.4446e+12,C,46
1.4446e+12,D,46
1.44467e+12,A,46
1.44467e+12,D,46
1.44495e+12,B,46
1.44495e+12,D,46
1.44519e+12,B,46
1.44519e+12,C,46
1.44745e+12,B,46
1.44745e+12,C,46
1.44192e+12,D,71
1.44495e+12,A,71
1.44495e+12,D,71
1.44495e+12,D,71
1.44495e+12,D,71
1.44495e+12,D,71
1.44496e+12,D,71
1.44495e+12,A,49
1.44495e+12,A,49
1.44497e+12,A,49
1.44497e+12,B,49
1.44497e+12,B,49
1.44497e+12,B,49
1.44497e+12,B,49
1.44497e+12,B,49
1.44497e+12,B,49
1.44497e+12,B,49
1.44497e+12,A,49
1.4413e+12,C,29
1.44251e+12,A,29
1.44251e+12,A,29
1.44251e+12,A,29
1.44251e+12,D,29
1.44252e+12,A,29
1.44255e+12,C,29
1.4426e+12,A,29
1.44495e+12,B,29
1.44495e+12,C,29
1.44496e+12,C,29
1.44496e+12,A,29
1.44496e+12,C,29
1.44496e+12,C,29
1.44057e+12,B,20
1.44134e+12,C,20
1.44134e+12,D,20
1.44253e+12,D,20
1.44253e+12,D,20
1.44253e+12,D,20
1.44399e+12,D,20
1.44495e+12,D,20
1.44496e+12,D,20
1.44072e+12,A,9
1.44056e+12,B,5
1.44056e+12,D,5
1.44056e+12,B,5
1.44056e+12,D,5
1.44115e+12,B,5
1.44132e+12,C,5
1.44132e+12,B,5
1.44132e+12,D,5
1.44132e+12,D,5
1.44138e+12,C,5
1.44138e+12,B,5
1.44185e+12,B,5
1.4421e+12,B,5
1.44254e+12,B,5
1.44255e+12,B,5
1.44255e+12,D,5
1.44255e+12,D,5
1.44255e+12,D,5
1.44255e+12,C,5
1.4426e+12,B,5
1.4426e+12,B,5
1.4426e+12,B,5
1.4426e+12,D,5
1.44445e+12,B,5
1.44453e+12,B,5
1.44495e+12,A,5
1.44495e+12,B,5
1.44497e+12,B,5
1.44497e+12,A,5
1.44497e+12,B,5
1.44497e+12,D,5
1.44497e+12,B,5
1.44597e+12,B,5
1.44598e+12,B,5
1.446e+12,B,5
1.44072e+12,B,5
1.44426e+12,D,5
1.44426e+12,D,5
1.44426e+12,D,5
1.44134e+12,C,84
1.44134e+12,D,84
1.44134e+12,B,84
1.44134e+12,B,84
1.44134e+12,D,84
1.44134e+12,B,84
1.44134e+12,D,84
1.4422e+12,B,84
1.4422e+12,B,84
1.4422e+12,D,84
1.44255e+12,C,84
1.44462e+12,C,84
1.44462e+12,D,84
1.44055e+12,B,27
1.44141e+12,B,27
1.44261e+12,C,27
1.44651e+12,B,27
1.44063e+12,C,7
1.44063e+12,C,7
1.44063e+12,C,7
1.44064e+12,B,7
1.44064e+12,C,7
1.4408e+12,C,7
1.4408e+12,A,7
1.4408e+12,A,7
1.4408e+12,A,7
1.44124e+12,B,7
1.44141e+12,B,7
1.44141e+12,A,7
1.44141e+12,D,7
1.44229e+12,C,7
1.44229e+12,D,7
1.44229e+12,D,7
1.44251e+12,C,7
1.44251e+12,D,7
1.44251e+12,C,7
1.44251e+12,B,7
1.44251e+12,C,7
1.44348e+12,C,7
1.44372e+12,B,7
1.44372e+12,B,7
1.44372e+12,B,7
1.44495e+12,B,7
1.44055e+12,B,12
1.4408e+12,A,12
1.4408e+12,A,12
1.44408e+12,C,88
1.44408e+12,C,88
1.44503e+12,C,88
1.44503e+12,D,88
1.44503e+12,C,88
1.44503e+12,D,88
1.44539e+12,C,88
1.44589e+12,C,88
1.44677e+12,C,88
1.44495e+12,A,69
1.44495e+12,D,69
1.44495e+12,D,69
1.44495e+12,D,69
1.44088e+12,A,66
1.44088e+12,B,66
1.44089e+12,B,66
1.44091e+12,C,66
1.44091e+12,C,66
1.44091e+12,C,66
1.4434e+12,D,66
1.4434e+12,D,66
1.44513e+12,A,66
1.44074e+12,B,10
1.44126e+12,B,10
1.44126e+12,D,10
1.44127e+12,B,10
1.44127e+12,B,10
1.44132e+12,A,10
1.44247e+12,B,10
1.44247e+12,D,10
1.44495e+12,B,10
1.44055e+12,B,56
1.44072e+12,B,56
1.44072e+12,B,56
1.44072e+12,B,56
1.44083e+12,B,56
1.44083e+12,D,56
1.44083e+12,D,56
1.44092e+12,B,56
1.44092e+12,C,56
1.44115e+12,B,56
1.44495e+12,B,56
1.44495e+12,D,56
1.44495e+12,B,59
1.44157e+12,A,21
